                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.28944,                0.27103,                 0.2122,                0.86481,                0.99939,                      1,                  0.995,                0.99096,                0.99939,                      1,                  0.995,                  0.995,                0.17336,                0.13408,                0.23608,                0.64237,              0.0011816,              0.0011816,              0.0011816
                     65,                0.30667,                0.27604,                0.22041,                0.88002,                0.99919,                      1,                  0.995,                0.99022,                0.99919,                      1,                  0.995,                  0.995,                0.17811,                0.13464,                0.57915,                0.63615,              0.0011684,              0.0011684,              0.0011684
                     66,                0.30456,                0.27779,                0.21876,                0.87201,                0.99916,                      1,                  0.995,                0.99398,                0.99916,                      1,                  0.995,                  0.995,                0.21715,                0.13156,                0.25511,                   0.65,              0.0011552,              0.0011552,              0.0011552
                     67,                0.30292,                0.28639,                0.22296,                0.87696,                0.99942,                      1,                  0.995,                0.99108,                0.99942,                      1,                  0.995,                0.98902,                 0.2103,                0.13827,                0.20344,                0.65294,               0.001142,               0.001142,               0.001142
                     68,                0.30405,                0.28297,                0.21833,                0.87547,                0.99949,                      1,                  0.995,                0.98907,                0.99949,                      1,                  0.995,                 0.9949,                0.16716,                 0.1495,                0.14189,                0.63932,              0.0011288,              0.0011288,              0.0011288
                     69,                0.29296,                0.26016,                0.20967,                0.87745,                0.99947,                      1,                  0.995,                0.98992,                0.99947,                      1,                  0.995,                  0.995,                0.20024,                0.13219,                0.17402,                0.64311,              0.0011156,              0.0011156,              0.0011156
                     70,                0.29078,                0.27106,                 0.2104,                0.87554,                0.99943,                      1,                  0.995,                0.98787,                0.99943,                      1,                  0.995,                  0.995,                0.19469,                0.12655,                 0.1751,                0.64055,              0.0011024,              0.0011024,              0.0011024
                     71,                0.29268,                0.25899,                 0.2077,                0.87581,                0.99942,                      1,                  0.995,                0.99168,                0.99942,                      1,                  0.995,                  0.995,                0.19875,                0.13411,                0.15983,                0.64749,              0.0010892,              0.0010892,              0.0010892
                     72,                0.30258,                0.27404,                0.21864,                 0.8734,                0.99949,                      1,                  0.995,                 0.9831,                0.99949,                      1,                  0.995,                  0.995,                0.25245,                0.12034,                0.18426,                 0.6558,               0.001076,               0.001076,               0.001076
                     73,                0.28529,                0.27131,                0.20431,                0.86753,                 0.9995,                      1,                  0.995,                0.99243,                 0.9995,                      1,                  0.995,                0.99479,                0.17927,                0.13368,                0.15371,                0.63662,              0.0010628,              0.0010628,              0.0010628
                     74,                0.29192,                0.27816,                0.21184,                0.87313,                0.99948,                      1,                  0.995,                0.99186,                0.99948,                      1,                  0.995,                0.99176,                0.20582,                0.15611,                0.18626,                0.64906,              0.0010496,              0.0010496,              0.0010496
                     75,                0.28436,                0.27393,                0.20424,                0.87469,                0.99944,                      1,                  0.995,                0.99054,                0.99944,                      1,                  0.995,                0.99422,                0.21411,                0.13061,                0.15766,                 0.6423,              0.0010364,              0.0010364,              0.0010364
                     76,                0.28536,                0.26387,                0.20205,                0.87232,                0.99948,                      1,                  0.995,                 0.9925,                0.99948,                      1,                  0.995,                  0.995,                0.20904,                 0.1218,                0.16216,                0.64848,              0.0010232,              0.0010232,              0.0010232
                     77,                0.28351,                0.25538,                0.20645,                0.88099,                0.99949,                      1,                  0.995,                0.99231,                0.99949,                      1,                  0.995,                0.99239,                0.17234,                0.12878,                0.15778,                0.63956,                0.00101,                0.00101,                0.00101
                     78,                  0.281,                 0.2733,                0.20096,                0.87705,                0.99741,                      1,                  0.995,                0.98818,                0.99741,                      1,                  0.995,                 0.9943,                 0.2162,                 0.1514,                0.20016,                 0.6516,              0.0009968,              0.0009968,              0.0009968
                     79,                0.28457,                0.27757,                0.20367,                0.86952,                0.99942,                      1,                  0.995,                0.99096,                0.99942,                      1,                  0.995,                0.99449,                0.18637,                0.13021,                0.17125,                0.64274,              0.0009836,              0.0009836,              0.0009836
                     80,                0.28286,                 0.2563,                 0.1972,                0.87418,                0.99937,                      1,                  0.995,                0.99186,                0.99937,                      1,                  0.995,                0.99471,                0.20699,                0.12724,                0.16959,                0.64193,              0.0009704,              0.0009704,              0.0009704
                     81,                0.27913,                0.26286,                0.20051,                0.85737,                0.99886,                      1,                  0.995,                0.99368,                0.99886,                      1,                  0.995,                0.99339,                0.18768,                0.17539,                0.14151,                0.63886,              0.0009572,              0.0009572,              0.0009572
                     82,                0.27621,                0.26543,                0.19493,                0.86845,                0.99598,                      1,                  0.995,                0.99211,                0.99598,                      1,                  0.995,                  0.995,                0.20338,                0.11534,                0.14472,                0.63536,               0.000944,               0.000944,               0.000944
                     83,                0.28071,                0.26835,                0.19479,                0.86946,                0.99918,                      1,                  0.995,                0.99123,                0.99918,                      1,                  0.995,                  0.995,                 0.1924,                0.13996,                 0.1631,                0.63864,              0.0009308,              0.0009308,              0.0009308
                     84,                0.28127,                0.27055,                0.19705,                0.87306,                0.99947,                      1,                  0.995,                0.99217,                0.99947,                      1,                  0.995,                  0.995,                0.17551,                0.13816,                0.14554,                0.64198,              0.0009176,              0.0009176,              0.0009176
                     85,                0.27733,                0.25506,                0.19553,                0.86308,                0.99948,                      1,                  0.995,                0.99143,                0.99948,                      1,                  0.995,                  0.995,                0.19843,                 0.1251,                0.14232,                0.64362,              0.0009044,              0.0009044,              0.0009044
                     86,                0.27699,                0.25983,                0.19712,                 0.8707,                 0.9995,                      1,                  0.995,                0.99421,                 0.9995,                      1,                  0.995,                  0.995,                0.19196,                0.15994,                0.15231,                0.65216,              0.0008912,              0.0008912,              0.0008912
                     87,                0.27241,                0.24926,                0.19436,                0.86296,                0.99949,                      1,                  0.995,                0.98944,                0.99949,                      1,                  0.995,                  0.995,                0.21295,                0.13077,                0.14591,                0.64364,               0.000878,               0.000878,               0.000878
                     88,                0.27161,                0.25484,                0.19402,                0.87239,                0.99935,                      1,                  0.995,                0.99163,                0.99935,                      1,                  0.995,                  0.995,                 0.1899,                0.16454,                0.15409,                0.65417,              0.0008648,              0.0008648,              0.0008648
                     89,                0.27029,                0.24506,                0.19397,                0.86298,                0.99939,                      1,                  0.995,                0.98987,                0.99939,                      1,                  0.995,                0.99477,                0.18562,                0.12119,                0.14278,                0.64241,              0.0008516,              0.0008516,              0.0008516
                     90,                0.26372,                0.25351,                0.19151,                0.86027,                 0.9993,                      1,                  0.995,                0.98944,                 0.9993,                      1,                  0.995,                  0.995,                0.20711,                0.13778,                0.14865,                0.65276,              0.0008384,              0.0008384,              0.0008384
                     91,                0.27131,                0.25754,                 0.1947,                0.86693,                0.99923,                      1,                  0.995,                 0.9922,                0.99923,                      1,                  0.995,                  0.995,                0.18753,                0.13461,                0.19248,                0.64065,              0.0008252,              0.0008252,              0.0008252
                     92,                0.27528,                0.26243,                0.19321,                0.86682,                0.99928,                      1,                  0.995,                   0.99,                0.99928,                      1,                  0.995,                  0.995,                 0.1666,                 0.1536,                0.15628,                0.63631,               0.000812,               0.000812,               0.000812
                     93,                0.26309,                0.25203,                0.18804,                0.86381,                0.99908,                      1,                  0.995,                0.98878,                0.99908,                      1,                  0.995,                0.99456,                0.17766,                 0.1493,                0.27118,                0.63865,              0.0007988,              0.0007988,              0.0007988
                     94,                0.25486,                0.23878,                0.18609,                0.85779,                0.99917,                      1,                  0.995,                0.98912,                0.99917,                      1,                  0.995,                  0.995,                0.18615,                0.13928,                0.17068,                0.64472,              0.0007856,              0.0007856,              0.0007856
                     95,                0.26101,                0.25063,                0.18491,                0.85846,                0.99918,                      1,                  0.995,                0.99068,                0.99918,                      1,                  0.995,                  0.995,                0.18369,                0.13065,                0.15174,                0.63631,              0.0007724,              0.0007724,              0.0007724
                     96,                0.26457,                0.25236,                 0.1866,                0.86472,                0.99945,                      1,                  0.995,                0.99196,                0.99945,                      1,                  0.995,                0.99458,                0.18466,                0.11705,                0.14669,                0.63507,              0.0007592,              0.0007592,              0.0007592
                     97,                0.25534,                0.23856,                0.17938,                0.85729,                0.99944,                      1,                  0.995,                0.98748,                0.99944,                      1,                  0.995,                  0.995,                0.19538,                0.11914,                0.14372,                0.64573,               0.000746,               0.000746,               0.000746
                     98,                0.25223,                0.22969,                0.18253,                0.85688,                0.99937,                      1,                  0.995,                0.98866,                0.99937,                      1,                  0.995,                  0.995,                0.19023,                0.12815,                0.13449,                0.63875,              0.0007328,              0.0007328,              0.0007328
                     99,                0.26534,                0.25698,                0.19011,                 0.8663,                0.99918,                      1,                  0.995,                0.98777,                0.99918,                      1,                  0.995,                0.99484,                0.19258,                0.11055,                0.12814,                0.64459,              0.0007196,              0.0007196,              0.0007196
                    100,                0.26272,                 0.2527,                0.18675,                0.86457,                0.99892,                      1,                  0.995,                0.99081,                0.99892,                      1,                  0.995,                  0.995,                0.17448,                0.12222,                 0.1312,                  0.632,              0.0007064,              0.0007064,              0.0007064
